,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
93,LeBron James,2544,3,4,4,0,3,0.0,0,0,0,"Quinn Cook, Alex Caruso, Jared Dudley, LeBron James, Dwight Howard",7,2,4,1,1,0.7,0,2019-20,LAL,0.0,0,5
94,Dwight Howard,2730,3,4,4,4,3,1.0,2,0,0,"Quinn Cook, Alex Caruso, Jared Dudley, LeBron James, Dwight Howard",7,2,4,1,1,0.7,0,2019-20,LAL,75.0,2,5
95,Kyle Kuzma,1628398,5,11,10,6,14,0.75,1,3,0,"Kyle Kuzma, Avery Bradley, Anthony Davis, LeBron James, Dwight Howard",15,2,3,2,3,0.8333333333333334,6,2019-20,LAL,40.90909090909091,4,6
96,Avery Bradley,202340,5,11,10,0,14,0.0,0,0,0,"Kyle Kuzma, Avery Bradley, Anthony Davis, LeBron James, Dwight Howard",15,2,3,2,3,0.8333333333333334,6,2019-20,LAL,0.0,0,6
97,Anthony Davis,203076,5,11,10,3,14,0.75,1,0,2,"Kyle Kuzma, Avery Bradley, Anthony Davis, LeBron James, Dwight Howard",15,2,3,2,3,0.8333333333333334,6,2019-20,LAL,20.454545454545453,1,6
98,LeBron James,2544,5,11,10,2,14,1.0,0,0,2,"Kyle Kuzma, Avery Bradley, Anthony Davis, LeBron James, Dwight Howard",15,2,3,2,3,0.8333333333333334,6,2019-20,LAL,13.636363636363637,0,6
99,Dwight Howard,2730,5,11,10,4,14,1.0,1,0,2,"Kyle Kuzma, Avery Bradley, Anthony Davis, LeBron James, Dwight Howard",15,2,3,2,3,0.8333333333333334,6,2019-20,LAL,27.272727272727273,1,6
100,Alex Caruso,1627936,4,9,9,0,6,0.0,0,0,0,"Alex Caruso, Danny Green, Troy Daniels, LeBron James, Dwight Howard",5,1,5,0,2,0.2222222222222222,5,2019-20,LAL,0.0,0,7
101,Danny Green,201980,4,9,9,0,6,0.0,0,0,0,"Alex Caruso, Danny Green, Troy Daniels, LeBron James, Dwight Howard",5,1,5,0,2,0.2222222222222222,5,2019-20,LAL,0.0,0,7
102,Troy Daniels,203584,4,9,9,0,6,0.0,2,0,1,"Alex Caruso, Danny Green, Troy Daniels, LeBron James, Dwight Howard",5,1,5,0,2,0.2222222222222222,5,2019-20,LAL,0.0,2,7
103,LeBron James,2544,4,9,9,4,6,0.3333333333333333,3,2,2,"Alex Caruso, Danny Green, Troy Daniels, LeBron James, Dwight Howard",5,1,5,0,2,0.2222222222222222,5,2019-20,LAL,33.333333333333336,5,7
104,Dwight Howard,2730,4,9,9,0,6,0.0,0,0,2,"Alex Caruso, Danny Green, Troy Daniels, LeBron James, Dwight Howard",5,1,5,0,2,0.2222222222222222,5,2019-20,LAL,0.0,0,7
105,Alex Caruso,1627936,2,3,3,0,3,0.0,0,0,0,"Alex Caruso, Rajon Rondo, Danny Green, LeBron James, Dwight Howard",4,2,4,0,0,0.4,2,2019-20,LAL,0.0,0,4
106,Rajon Rondo,200765,2,3,3,0,3,0.0,0,0,0,"Alex Caruso, Rajon Rondo, Danny Green, LeBron James, Dwight Howard",4,2,4,0,0,0.4,2,2019-20,LAL,0.0,0,4
107,Danny Green,201980,2,3,3,0,3,0.0,0,0,0,"Alex Caruso, Rajon Rondo, Danny Green, LeBron James, Dwight Howard",4,2,4,0,0,0.4,2,2019-20,LAL,0.0,0,4
108,LeBron James,2544,2,3,3,2,3,0.3333333333333333,2,0,2,"Alex Caruso, Rajon Rondo, Danny Green, LeBron James, Dwight Howard",4,2,4,0,0,0.4,2,2019-20,LAL,50.0,2,4
109,Dwight Howard,2730,2,3,3,2,3,0.5,2,0,0,"Alex Caruso, Rajon Rondo, Danny Green, LeBron James, Dwight Howard",4,2,4,0,0,0.4,2,2019-20,LAL,50.0,2,4
110,Jared Dudley,201162,4,7,8,0,12,0.0,0,0,0,"Jared Dudley, Danny Green, Avery Bradley, LeBron James, Dwight Howard",9,3,3,1,3,0.75,0,2019-20,LAL,0.0,0,6
111,Danny Green,201980,4,7,8,4,12,0.6666666666666666,2,1,0,"Jared Dudley, Danny Green, Avery Bradley, LeBron James, Dwight Howard",9,3,3,1,3,0.75,0,2019-20,LAL,42.857142857142854,3,6
112,Avery Bradley,202340,4,7,8,0,12,0.0,0,0,0,"Jared Dudley, Danny Green, Avery Bradley, LeBron James, Dwight Howard",9,3,3,1,3,0.75,0,2019-20,LAL,0.0,0,6
113,LeBron James,2544,4,7,8,5,12,0.8333333333333334,1,2,0,"Jared Dudley, Danny Green, Avery Bradley, LeBron James, Dwight Howard",9,3,3,1,3,0.75,0,2019-20,LAL,53.57142857142857,3,6
114,Dwight Howard,2730,4,7,8,0,12,0.0,0,0,0,"Jared Dudley, Danny Green, Avery Bradley, LeBron James, Dwight Howard",9,3,3,1,3,0.75,0,2019-20,LAL,0.0,0,6
115,Alex Caruso,1627936,4,8,9,0,12,0.0,0,0,0,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Anthony Davis, Dwight Howard",4,1,6,0,1,0.2222222222222222,4,2019-20,LAL,0.0,0,7
