,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
65,Karl-Anthony Towns,1626157,4,6,7,0,10,0.0,0,0,0,"Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt, Anthony Edwards, Patrick Beverley",3,0,1,1,2,0.5,0,2021-22,MIN,0.0,0,3
66,Malik Beasley,1627736,4,6,7,3,10,1.5,0,1,0,"Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt, Anthony Edwards, Patrick Beverley",3,0,1,1,2,0.5,0,2021-22,MIN,37.5,1,3
67,Jarred Vanderbilt,1629020,4,6,7,0,10,0.0,0,0,0,"Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt, Anthony Edwards, Patrick Beverley",3,0,1,1,2,0.5,0,2021-22,MIN,0.0,0,3
68,Anthony Edwards,1630162,4,6,7,0,10,0.0,1,0,0,"Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt, Anthony Edwards, Patrick Beverley",3,0,1,1,2,0.5,0,2021-22,MIN,0.0,1,3
69,Patrick Beverley,201976,4,6,7,0,10,0.0,0,1,0,"Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt, Anthony Edwards, Patrick Beverley",3,0,1,1,2,0.5,0,2021-22,MIN,0.0,1,3
70,Karl-Anthony Towns,1626157,4,9,9,2,11,1.0,1,0,0,"Karl-Anthony Towns, Jordan McLaughlin, Jaylen Nowell, Anthony Edwards, Jaden McDaniels",17,3,5,3,3,0.9444444444444444,2,2021-22,MIN,16.666666666666668,1,8
71,Jordan McLaughlin,1629162,4,9,9,0,11,0.0,0,0,0,"Karl-Anthony Towns, Jordan McLaughlin, Jaylen Nowell, Anthony Edwards, Jaden McDaniels",17,3,5,3,3,0.9444444444444444,2,2021-22,MIN,0.0,0,8
72,Jaylen Nowell,1629669,4,9,9,4,11,0.6666666666666666,3,0,0,"Karl-Anthony Towns, Jordan McLaughlin, Jaylen Nowell, Anthony Edwards, Jaden McDaniels",17,3,5,3,3,0.9444444444444444,2,2021-22,MIN,33.333333333333336,3,8
73,Anthony Edwards,1630162,4,9,9,11,11,1.1,1,3,2,"Karl-Anthony Towns, Jordan McLaughlin, Jaylen Nowell, Anthony Edwards, Jaden McDaniels",17,3,5,3,3,0.9444444444444444,2,2021-22,MIN,91.66666666666667,4,8
74,Jaden McDaniels,1630183,4,9,9,0,11,0.0,0,0,0,"Karl-Anthony Towns, Jordan McLaughlin, Jaylen Nowell, Anthony Edwards, Jaden McDaniels",17,3,5,3,3,0.9444444444444444,2,2021-22,MIN,0.0,0,8
