,Unnamed: 0,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
165,,Karl-Anthony Towns,1626157,596,1169,1169,427,1301,0.6931818181818182,237,43,67,"Karl-Anthony Towns, Brandon Rush, Ricky Rubio, Gorgui Dieng, Andrew Wiggins",1324,423,805,84,220,0.5762489044697634,271,2016-17,MIN,27.395209580838323,280,1025
170,,Karl-Anthony Towns,1626157,55,111,119,42,139,0.7,23,5,4,"Karl-Anthony Towns, Ricky Rubio, Nemanja Bjelica, Shabazz Muhammad, Andrew Wiggins",124,38,74,9,25,0.5636363636363636,24,2016-17,MIN,28.37837837837838,28,99
175,,Tyus Jones,1626145,24,53,49,9,60,0.5625,5,2,3,"Tyus Jones, Cole Aldrich, Nemanja Bjelica, Shabazz Muhammad, Zach LaVine",60,17,30,7,17,0.6122448979591837,6,2016-17,MIN,12.735849056603774,7,47
180,,Karl-Anthony Towns,1626157,20,40,41,7,30,0.5,4,3,1,"Karl-Anthony Towns, Kris Dunn, Gorgui Dieng, Shabazz Muhammad, Zach LaVine",36,12,22,2,8,0.546875,6,2016-17,MIN,13.125,7,30
185,,Karl-Anthony Towns,1626157,51,106,108,31,108,0.7380952380952381,14,3,11,"Karl-Anthony Towns, Brandon Rush, Ricky Rubio, Nemanja Bjelica, Andrew Wiggins",116,33,68,9,25,0.5420560747663551,33,2016-17,MIN,21.933962264150942,17,93
190,,Kris Dunn,1627739,134,252,259,40,276,0.47619047619047616,29,9,8,"Kris Dunn, Cole Aldrich, Nemanja Bjelica, Shabazz Muhammad, Zach LaVine",267,84,172,25,64,0.5276679841897233,36,2016-17,MIN,11.904761904761905,38,236
195,,Karl-Anthony Towns,1626157,21,42,41,19,58,0.6333333333333333,7,4,8,"Karl-Anthony Towns, Ricky Rubio, Cole Aldrich, Zach LaVine, Andrew Wiggins",46,11,23,3,8,0.575,18,2016-17,MIN,33.92857142857143,11,31
200,,Karl-Anthony Towns,1626157,62,125,120,39,145,0.5735294117647058,25,3,14,"Karl-Anthony Towns, Ricky Rubio, Nemanja Bjelica, Zach LaVine, Andrew Wiggins",144,35,66,12,35,0.5950413223140496,45,2016-17,MIN,23.4,28,101
205,,Karl-Anthony Towns,1626157,36,73,75,27,79,0.7105263157894737,14,3,6,"Karl-Anthony Towns, Kris Dunn, Nemanja Bjelica, Shabazz Muhammad, Andrew Wiggins",72,25,47,4,18,0.5142857142857142,13,2016-17,MIN,27.73972602739726,17,65
210,,Karl-Anthony Towns,1626157,27,50,52,13,68,0.5909090909090909,10,1,0,"Karl-Anthony Towns, Ricky Rubio, Gorgui Dieng, Shabazz Muhammad, Zach LaVine",51,18,31,3,9,0.5930232558139535,6,2016-17,MIN,19.5,11,40
215,,Karl-Anthony Towns,1626157,56,111,110,40,125,0.6666666666666666,19,6,13,"Karl-Anthony Towns, Kris Dunn, Ricky Rubio, Gorgui Dieng, Andrew Wiggins",125,33,80,10,21,0.5387931034482759,34,2016-17,MIN,27.027027027027028,25,101
220,,Brandon Rush,201575,33,68,68,16,62,0.8888888888888888,3,6,0,"Brandon Rush, Ricky Rubio, Nemanja Bjelica, Gorgui Dieng, Andrew Wiggins",96,24,42,9,14,0.6956521739130435,29,2016-17,MIN,17.647058823529413,9,56
225,,Karl-Anthony Towns,1626157,156,315,307,84,340,0.5454545454545454,50,17,20,"Karl-Anthony Towns, Ricky Rubio, Gorgui Dieng, Shabazz Muhammad, Andrew Wiggins",390,122,225,25,67,0.5830815709969789,94,2016-17,MIN,20.0,67,292
230,,Karl-Anthony Towns,1626157,24,47,45,17,62,0.7083333333333334,7,1,8,"Karl-Anthony Towns, Brandon Rush, Ricky Rubio, Shabazz Muhammad, Andrew Wiggins",49,13,24,1,13,0.5104166666666666,22,2016-17,MIN,27.127659574468087,8,37
235,,Karl-Anthony Towns,1626157,28,56,59,18,70,0.42857142857142855,11,6,8,"Karl-Anthony Towns, Ricky Rubio, Nemanja Bjelica, Gorgui Dieng, Andrew Wiggins",66,19,31,5,17,0.5701754385964912,21,2016-17,MIN,24.107142857142858,17,48
240,,Tyus Jones,1626145,25,51,48,12,43,0.8571428571428571,3,4,0,"Tyus Jones, Karl-Anthony Towns, Ricky Rubio, Nemanja Bjelica, Andrew Wiggins",70,14,32,7,13,0.6140350877192983,26,2016-17,MIN,17.647058823529413,7,45
245,,Kris Dunn,1627739,33,63,68,14,90,0.5384615384615384,12,0,2,"Kris Dunn, Cole Aldrich, Nemanja Bjelica, Shabazz Muhammad, Andrew Wiggins",71,28,51,2,7,0.5634920634920635,13,2016-17,MIN,16.666666666666668,12,58
250,,Tyus Jones,1626145,82,156,161,14,214,0.4375,13,2,3,"Tyus Jones, Karl-Anthony Towns, Kris Dunn, Omri Casspi, Shabazz Muhammad",180,56,114,10,30,0.5457317073170732,49,2016-17,MIN,6.730769230769231,15,144
255,,Ricky Rubio,201937,26,52,48,4,50,0.3333333333333333,2,3,2,"Ricky Rubio, Nemanja Bjelica, Gorgui Dieng, Zach LaVine, Andrew Wiggins",44,13,31,3,12,0.4583333333333333,10,2016-17,MIN,5.769230769230769,5,43
260,,Karl-Anthony Towns,1626157,26,51,52,20,62,0.625,14,2,2,"Karl-Anthony Towns, Ricky Rubio, Shabazz Muhammad, Zach LaVine, Andrew Wiggins",58,16,33,6,15,0.5686274509803921,9,2016-17,MIN,29.41176470588235,16,48
265,,Kris Dunn,1627739,21,43,45,2,58,0.25,2,2,0,"Kris Dunn, Omri Casspi, Gorgui Dieng, Shabazz Muhammad, Andrew Wiggins",41,13,26,1,8,0.5125,16,2016-17,MIN,3.488372093023256,4,34
270,,Kris Dunn,1627739,70,134,133,17,124,0.425,15,4,4,"Kris Dunn, Nemanja Bjelica, Gorgui Dieng, Shabazz Muhammad, Zach LaVine",145,38,82,14,39,0.5333333333333333,32,2016-17,MIN,9.514925373134329,19,121
